<3	<3 🫶
女人	女人 🧔‍♀️ 👩 👩‍🦰 👩‍🦱 👩‍🦳 👩‍🦲 👱‍♀️ 👵 🙍‍♀️ 🙎‍♀️ 🙅‍♀️ 🙆‍♀️ 💁‍♀️ 🙋‍♀️ 🧏‍♀️ 🙇‍♀️ 🤦‍♀️ 🤷‍♀️ 👩‍⚕️ 👩‍🏫 👩‍⚖️ 👩‍🌾 👩‍🍳 👩‍🔧 👩‍🏭 👩‍🔬 👩‍🎤 👩‍🎨 👩‍✈️ 👩‍🚀 👩‍🚒 👮‍♀️ 🕵️‍♀️ 💂‍♀️ 👷‍♀️ 👳‍♀️ 🧕 👰‍♀️ 🤰 🤱 👩‍🍼 🦸‍♀️ 🦹‍♀️ 🧙‍♀️ 🧚‍♀️ 🧛‍♀️ 🧝‍♀️ 🧞‍♀️ 🧟‍♀️ 💆‍♀️ 💇‍♀️ 🚶‍♀️ 🚶‍♀️‍➡️ 🧍‍♀️ 🧎‍♀️ 🧎‍♀️‍➡️ 👩‍🦯 👩‍🦯‍➡️ 👩‍🦽 👩‍🦽‍➡️ 🏃‍♀️ 🏃‍♀️‍➡️ 💃 👯‍♀️ 🧖‍♀️ 🧗‍♀️ 🏌️‍♀️ 🚣‍♀️ ⛹️‍♀️ 🏋️‍♀️ 🚴‍♀️ 🚵‍♀️ 🤸‍♀️ 🤽‍♀️ 🤾‍♀️ 🤹‍♀️ 🧘‍♀️ 👭 👫 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 👩‍❤️‍👨 👩‍❤️‍👩 👨‍👩‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧 👩‍👩‍👦 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧‍👧 👚 👠 👒 🚺
女人举手	女人举手 🙋‍♀️
女人仙女	女人仙女 🧚‍♀️
女人划艇	女人划艇 🚣‍♀️
女人剪头发	女人剪头发 💇‍♀️
女人和男人牵着手	女人和男人牵着手 👫
女人喂婴儿	女人喂婴儿 👩‍🍼
女人奔跑	女人奔跑 🏃‍♀️
女人小费	女人小费 💁‍♀️
女人山地自行车	女人山地自行车 🚵‍♀️
女人弹跳球	女人弹跳球 ⛹️‍♀️
女人得到按摩	女人得到按摩 💆‍♀️
女人打手势“不”	女人打手势“不” 🙅‍♀️
女人捂脸	女人捂脸 🤦‍♀️
女人撅嘴	女人撅嘴 🙎‍♀️
女人游泳	女人游泳 🏊‍♀️
女人玩杂耍	女人玩杂耍 🤹‍♀️
女人的帽子	女人的帽子 👒
女人的衣服	女人的衣服 👚
女人皱眉	女人皱眉 🙍‍♀️
女人站	女人站 🧍‍♀️
女人精灵	女人精灵 🧝‍♀️ 🧞‍♀️
女人耸耸肩	女人耸耸肩 🤷‍♀️
女人走路	女人走路 🚶‍♀️
女人跪下	女人跪下 🧎‍♀️
女人跪向右侧	女人跪向右侧 🧎‍♀️‍➡️
女人跳舞	女人跳舞 💃
女人鞠躬	女人鞠躬 🙇‍♀️
女侦探	女侦探 🕵️‍♀️
女僵尸	女僵尸 🧟‍♀️
女儿	女儿 👧
女农民	女农民 👩‍🌾
女办公室职员	女办公室职员 👩‍💼
女厕所	女厕所 🚺
女厨师	女厨师 👩‍🍳
女同性恋	女同性恋 🌈 🏳️‍🌈
女吸血鬼	女吸血鬼 🧛‍♀️
女士	女士 🫡 👩 👩‍🦰 👩‍🦱 👩‍🦳 👩‍🦲 👵 🤵‍♀️ 🐞 👚 👜 👢 👒
女子举重	女子举重 🏋️‍♀️
女子侧手翻	女子侧手翻 🤸‍♀️
女子冲浪	女子冲浪 🏄‍♀️
女子摔跤	女子摔跤 🤼‍♀️
女子攀爬	女子攀爬 🧗‍♀️
女子朝右奔跑	女子朝右奔跑 🏃‍♀️‍➡️
女学生	女学生 👩‍🎓
女孩	女孩 👧 👭 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👧‍👧 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧
女宇航员	女宇航员 👩‍🚀
女巫	女巫 🧙 🧙‍♂️ 🧙‍♀️ 🪄 🧹
女建筑工人	女建筑工人 👷‍♀️
女式	女式 🚺
女式凉鞋	女式凉鞋 👡
女性	女性 👩‍🎓 👩‍💼 👩‍💻 👩‍🦼 👩‍🦼‍➡️ 🤼‍♀️
女性卫生工作者	女性卫生工作者 👩‍⚕️
女性符号	女性符号 ♀
女技术员	女技术员 👩‍💻
女教师	女教师 👩‍🏫
女机械师	女机械师 👩‍🔧
女歌手	女歌手 👩‍🎤
女法官	女法官 👩‍⚖️
女法师	女法师 🧙‍♀️
女消防员	女消防员 👩‍🚒
女演员	女演员 🎭
女牛仔	女牛仔 🤠
女王	女王 👸 👑
女科学家	女科学家 👩‍🔬
女美人鱼	女美人鱼 🧜‍♀️
女艺术家	女艺术家 👩‍🎨
女英雄	女英雄 🦸‍♀️
女装	女装 👡 👢
女警务人员	女警务人员 👮‍♀️
女警卫	女警卫 💂‍♀️
女超级恶棍	女超级恶棍 🦹‍♀️
女超级英雄	女超级英雄 🦸‍♀️
女靴	女靴 👢
女鞋	女鞋 👡
女飞行员	女飞行员 👩‍✈️
奶奶	奶奶 👵
奶油	奶油 🍦 🍨
奶牛	奶牛 🐄
奶瓶	奶瓶 🍼
奶酪	奶酪 🧀 🍕 🫕 🪤
奶酪角	奶酪角 🧀
好	好 🫡 😴 💤 👍 👎 👏 🦸 🦸‍♂️ 🦸‍♀️ 🛌 🧧
好吃	好吃 😋 🍴
好奇	好奇 🦝
好手	好手 👌
好玩	好玩 🦦
好的	好的 🫡 👌
好莱坞	好莱坞 🎥
好鼻子	好鼻子 👃
妈妈	妈妈 🤱 👩‍🍼
妖怪	妖怪 🧞
妖精	妖精 👺
姐妹	姐妹 👭
姓名	姓名 📛
姓名牌	姓名牌 📛
委内瑞拉	委内瑞拉 🇻🇪
姜	姜 🫚
姜根	姜根 🫚
姜黄色	姜黄色 🦰
威士忌	威士忌 🥃
威尔士	威尔士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
娃娃	娃娃 🎎 🪆
娱乐	娱乐 🎠 🎆 🎣 🎯 🎮 🎲 🎭 🎨 📻
婚礼	婚礼 🤵 🤵‍♂️ 🤵‍♀️ 👰 👰‍♂️ 👰‍♀️ 💒 💍 💎
婴儿	婴儿 👶 🤱 👩‍🍼 👨‍🍼 🧑‍🍼 👼 🐣 🐤 🐥 🚼 🪯
婴儿天使	婴儿天使 👼
婴儿奶瓶	婴儿奶瓶 🍼
婴儿符号	婴儿符号 🚼
媒体	媒体 📝
嫉妒	嫉妒 😐 😑 😒
子弹头	子弹头 🚅
子弹头列车	子弹头列车 🚅
孔雀	孔雀 🦚
孕妇	孕妇 🤰 🫄
字母	字母 🔠 🔡 🔤
字母表	字母表 🔤
孙女	孙女 👧
孙子	孙子 🧒 👦
孟加拉国	孟加拉国 🇧🇩
孢子	孢子 🍄‍🟫
孤独	孤独 💔
学习	学习 📚
学校	学校 🏫 🚌 🎒 📼 📔 📚 📇
学生	学生 🧑‍🎓 👨‍🎓 👩‍🎓
学者	学者 🎓
孩子	孩子 🧒 👦 👧
孵出小鸡	孵出小鸡 🐣
孵化	孵化 🐣
宁静	宁静 🧘 🧘‍♂️ 🧘‍♀️ 🪷
宇航员	宇航员 🧑‍🚀 👨‍🚀 👩‍🚀
守车	守车 🚂
安全	安全 🫆 🛟 🦺 🔐 🧷 🪪
安全别针	安全别针 🧷
安全帽	安全帽 👷 👷‍♂️ 👷‍♀️
安全背心	安全背心 🦺
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
安宁	安宁 😌 ☮
安慰	安慰 🫂
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安葬	安葬 🪦
安道尔	安道尔 🇦🇩
安静	安静 🫢 🤫 🤐 😶 😯 🙊 🔇 🔕
完全	完全 😲
完成	完成 💅 ⌛ ⏳ ✅ ☑ ✔ 🏁
完美	完美 💯
宗教	宗教 ⛪ 🕌 🕍 ⛩ 🕋 📿 🛐 🕉 ✡ ☸ ☯ ✝ ☦ ☪ 🕎 🪯
官员	官员 👮 👮‍♀️
定向越野	定向越野 🧭
定居	定居 🏠 🏡
定时器时钟	定时器时钟 ⏲
宝宝	宝宝 👶
宝石	宝石 💎
宝莱坞	宝莱坞 🎥
宝藏	宝藏 🪙 🏴‍☠️
宝贝	宝贝 😘 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
实现	实现 💭
实用车辆	实用车辆 🚙
实验	实验 🥼 🧪 🔬
实验室	实验室 🥼 🔍 🔎 🧪 🧫 🔬
实验室外套	实验室外套 🥼
宠物	宠物 🐶 🐕 🐱 🐈 🐹 🐰 🐇
审查	审查 🤬
客满	客满 🈵
客船	客船 🛳
宫殿	宫殿 💂 💂‍♂️ 💂‍♀️
害怕	害怕 🫢 🫣 😦 😧 😨 😰 😱 😓 🙈 🫦
害羞	害羞 🫣 🪭
害虫	害虫 🪳 🦟 🪰
家	家 🪹 🛖 🏚 🏠 🏡
家居	家居 🔨 🔩
家庭	家庭 👨‍👩‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧 👨‍👨‍👦 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👦‍👦 👨‍👨‍👧‍👧 👩‍👩‍👦 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧‍👧 👪 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒 👑
家禽	家禽 🪿 🍗
容器	容器 🫙
宽带	宽带 🛜
宽慰	宽慰 😌
寄生虫	寄生虫 🪱
密克罗尼西亚	密克罗尼西亚 🇫🇲
密码	密码 🔑
富	富 💰
富人	富人 🪙 💶
富士山	富士山 🗻
富有	富有 🧐
富裕	富裕 🧐
富豪	富豪 🫅
寒冷	寒冷 😅 🥶 😎 😰 😓 🏔 ❄ ☃ ⛄ 💧 🧣
对于	对于 👲
对比	对比 🆚
对角线	对角线 🫤
对话	对话 💬
对话框	对话框 🗨
对话气泡	对话气泡 💬
对话泡泡里的眼睛	对话泡泡里的眼睛 👁️‍🗨️
寺庙	寺庙 🛕 🕍
寻呼机	寻呼机 📟
导盲犬	导盲犬 🦮
导航	导航 🧭
寿司	寿司 🍣
封面	封面 📔
射击	射击 💫 🌠
射手座	射手座 🏹 ♐
射箭	射箭 🏹
射线	射线 ☀
尊重	尊重 🫡
小	小 🤪 🤏 🦐 🫘 ▪ ▫ 🔸 🔹
小丑	小丑 🤡 🃏
小丑脸	小丑脸 🤡
小云后面的太阳	小云后面的太阳 🌤
小写	小写 🔡
小刀	小刀 🗡
小号	小号 🎺
小型巴士	小型巴士 🚐
小型摩托车	小型摩托车 🛵
小型飞机	小型飞机 🛩
小天鹅	小天鹅 🦢
小孩	小孩 🧒 🚸
小屋	小屋 🛖
小巴	小巴 🚐
小心	小心 ⚠
小提琴	小提琴 🎻
小时	小时 🏪 ⏳ ⏰
小橙色钻石	小橙色钻石 🔸
小狗	小狗 🥺 🐶
小猫	小猫 🐱 🐈
小睡	小睡 😴 😫 🥱 🛌
小精灵	小精灵 🧚 🧚‍♂️ 🧚‍♀️ 🧝‍♂️ 🧝‍♀️
小蓝钻石	小蓝钻石 🔹
小袋	小袋 👝
小说	小说 📖 📚
小费	小费 💁 💁‍♂️ 💁‍♀️
小飞机	小飞机 🛩
小鬼	小鬼 👿
小鸟球	小鸟球 🏌 🏌️‍♂️ 🏌️‍♀️ 🏸
小鸡	小鸡 🐣 🐤 🐥
小鸭	小鸭 🦢
小麦	小麦 🍞
尖叫	尖叫 😱
尖叫者	尖叫者 😱
尖头	尖头 🔺 🔻
尖牙	尖牙 🧛 🧛‍♂️ 🧛‍♀️
就业	就业 👔
就寝时间	就寝时间 😴
尴尬	尴尬 🫠 🫢 🫣 😐 😑 😶 😬 😳 🥹 🙈
尺子	尺子 📏
尼加拉瓜	尼加拉瓜 🇳🇮
尼日利亚	尼日利亚 🇳🇬
尼日尔	尼日尔 🇳🇪
尼泊尔	尼泊尔 🇳🇵
尿布	尿布 🧷
屈曲二头肌	屈曲二头肌 💪
屏障	屏障 🚧
山	山 🧗 🧗‍♂️ 🧗‍♀️ 🚵 🏔 ⛰ 🌋 🗻
山上索道	山上索道 🚠
山区	山区 🚞 🚠
山地	山地 🚵‍♂️ 🚵‍♀️
山地自行车	山地自行车 🚵
山峦上的日出	山峦上的日出 🌄
山羊	山羊 🐐 ♑
山脉	山脉 🌄
山间铁路	山间铁路 🚞
岛屿	岛屿 🏝
岩石	岩石 🧗 🧗‍♂️ 🧗‍♀️ 🪨
崇拜	崇拜 🥰 🛐
崛起	崛起 🐦‍🔥
嵌套	嵌套 🪹
巡航	巡航 🚣 🚣‍♂️ 🚣‍♀️
巡逻	巡逻 🚓
巢	巢 🪹 🪺
工业	工业 🧑‍🏭 👨‍🏭 👩‍🏭
工人	工人 🧑‍⚕️ 👨‍⚕️ 👩‍⚕️ 👨‍🔧 🧑‍🏭 👨‍🏭 👩‍🏭 🧑‍💼 👨‍💼 👩‍💼 👷 👷‍♂️ 👷‍♀️ ⛑
工作	工作 💦 👏 👷 👷‍♂️ 👷‍♀️ 🏢
工作室	工作室 🎙
工具	工具 🥢 🔪 🏺 ⚓ 🔥 🔫 🔮 🔍 🔎 🔦 ✂ 🔨 ⛏ ⚒ 🛠 🏹 🪚 🔧 🪛 🔩 ⚙ 🗜 ⚖ 🧰 ⚗ 🔬 🔭 💉 🔱 🔰
工具箱	工具箱 🧰
工厂	工厂 🧑‍🏭 👨‍🏭 👩‍🏭
工厂女工人	工厂女工人 👩‍🏭
工厂工人	工厂工人 🧑‍🏭
工程师	工程师 🧑‍🔬 👨‍🔬 👩‍🔬
左	左 🗨 🫲 👈 🔍 ⬅ ↩ ↪ ◀
左上	左上 ↖
左上箭头	左上箭头 ↖
左下	左下 ↙
左下箭头	左下箭头 ↙
左右	左右 ↔
左右箭头	左右箭头 ↔
左对话泡泡	左对话泡泡 🗨
左手	左手 🫲
左拳	左拳 🤛
左指	左指 🔍
左推手	左推手 🫷
左箭头	左箭头 ⬅
左箭头向右弯曲	左箭头向右弯曲 ↪
左轮手枪	左轮手枪 🔫
巧克力	巧克力 🫕 🍪 🍫
巧克力棒	巧克力棒 🍫
巨石	巨石 🪨
巨蟹座	巨蟹座 🦀 ♋
巨魔	巨魔 👹 🧌
巫师	巫师 🧙 🧙‍♂️ 🧙‍♀️ 🪄
巫术	巫术 🧙 🧙‍♂️ 🧙‍♀️
已付款	已付款 💰
已关闭	已关闭 📕
已关闭并降下旗帜的邮箱	已关闭并降下旗帜的邮箱 📪
已发送	已发送 📩 📤
已婚	已婚 💒 💍
已检查	已检查 ☑ ✔
已注册	已注册 ®
已选中	已选中 ✅
已锁定	已锁定 🔒
巴勒斯坦领土	巴勒斯坦领土 🇵🇸
巴哈马	巴哈马 🇧🇸
巴基斯坦	巴基斯坦 🇵🇰
巴士	巴士 🚏
巴士站	巴士站 🚏
巴巴多斯	巴巴多斯 🇧🇧
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴布什卡	巴布什卡 🪆
巴拉圭	巴拉圭 🇵🇾
巴拿马	巴拿马 🇵🇦
巴林	巴林 🇧🇭
巴西	巴西 🇧🇷
市场	市场 💹
布丁	布丁 🍮
布基纳法索	布基纳法索 🇧🇫
布隆迪	布隆迪 🇧🇮
布韦岛	布韦岛 🇧🇻
帆船	帆船 ⛵
希腊	希腊 🇬🇷
帐单	帐单 💷 💸
帐篷	帐篷 ⛺
帕克	帕克 🧚‍♂️
帕劳	帕劳 🇵🇼
带丝带的心	带丝带的心 💝
带光环的笑脸	带光环的笑脸 😇
带兔耳朵的女人	带兔耳朵的女人 👯‍♀️
带助听器的耳朵	带助听器的耳朵 🦻
带勺子的碗	带勺子的碗 🥣
带吸管的杯子	带吸管的杯子 🥤
带圆圈	带圆圈 ⓜ
带圆圈的M	带圆圈的M ⓜ
带复选标记的复选框	带复选标记的复选框 ☑
带斜线的钟	带斜线的钟 🔕
带有curl的页面	带有curl的页面 📃
带点的菱形	带点的菱形 💠
带皇冠的人	带皇冠的人 🫅
带盘子的刀叉	带盘子的刀叉 🍽
带着太阳镜的笑脸	带着太阳镜的笑脸 😎
带着爱心的笑脸	带着爱心的笑脸 🥰
带箭头的信封	带箭头的信封 📩
带箭头的心	带箭头的心 💘
带箭头的手机	带箭头的手机 📲
带装饰封面的笔记本	带装饰封面的笔记本 📔
带软木塞的瓶子	带软木塞的瓶子 🍾
带遮阳伞的海滩	带遮阳伞的海滩 🏖
带闪光灯的相机	带闪光灯的相机 📸
帧	帧 🎞
帮助	帮助 🩼 🆘
常绿树	常绿树 🌲
帽子	帽子 🤠 🥳 👷 👷‍♂️ 👷‍♀️ 👲 👒 🎩 🎓 🧢 ⛑
干旱	干旱 🌵 🪾
干杯	干杯 🍻
干的	干的 🚱
干饭	干饭 🍚
平头	平头 🪛
平底玻璃杯	平底玻璃杯 🥃
平底锅	平底锅 🥘
平底鞋	平底鞋 🥿
平方	平方 ❎
平板车	平板车 🛻
平等	平等 🟰
平衡	平衡 🤹 🤹‍♂️ 🤹‍♀️ ⚖ ♎
平静	平静 😇 😌 🪷
年轻	年轻 👶 👦 👧
年轻人	年轻人 🧒 👦 👧
年龄	年龄 🔞
幸福	幸福 🥲
幸运	幸运 🍀
幸运饼干	幸运饼干 🥠
幻想	幻想 😇 😈 👿 👹 👺 👻 👽 👾 🤴 👸 👼 🎅 🤶 🧑‍🎄 🧙 🧙‍♂️ 🧙‍♀️ 🧚 🧚‍♂️ 🧚‍♀️ 🧝 🧝‍♂️ 🧝‍♀️ 🧞 🧞‍♂️ 🧞‍♀️ 🧌 🐦‍🔥 🔮 📖 📗 📘 📙 📚
幻灯片	幻灯片 📐
幼芽	幼芽 🌱
幼苗	幼苗 🌱
广播	广播 📻
庆典	庆典 🎂 🎃 🎉 🎊 🎍 🎎 🎏 🎐 🎀 🎖 🪅
庆祝	庆祝 🥳 🙌 🎅 🤶 🧑‍🎄 🥂 🎆 🎇 🎈 🎉 🎊 🎋 🎑 🎁 🎗 🪅 🎓 🎌
庆祝活动	庆祝活动 🥳 🎈
庇护所	庇护所 🛖
床	床 😴 🛌 🛏
床上的人	床上的人 🛌
库克群岛	库克群岛 🇨🇰
库拉索岛	库拉索岛 🇨🇼
应急	应急 🚨 🦺
应用程序	应用程序 🈸
底部	底部 🍻
废弃的	废弃的 🏚
废弃的房屋	废弃的房屋 🏚
废料	废料 🗑
废物	废物 🗑
废纸篓	废纸篓 🗑
度	度 🪯
度假村	度假村 ⛵
座位	座位 💺 🪑
康加鼓	康加鼓 🪘
康复	康复 ❤️‍🩹
建立	建立 🗿
建筑	建筑 🏛 🏗 🏠 🏡 🏢 🏣 🏤 🏥 🏨 🏩 🏫 🏭 🏯 🏰 🌇 🚧 🚩
建筑工人	建筑工人 👷
建筑师	建筑师 🧑‍💼 👨‍💼 👩‍💼
建筑施工	建筑施工 🏗
建筑物	建筑物 🏦 🏬 🌆
建造	建造 👷 👷‍♂️ 👷‍♀️ 🚧
开发人员	开发人员 🧑‍💻 👨‍💻 👩‍💻
开启	开启 🔛
开启箭头	开启箭头 🔛
开始	开始 💆 💆‍♂️ 💆‍♀️
开心	开心 😆
开放	开放 📖 🪟
开曼群岛	开曼群岛 🇰🇾
开玩笑	开玩笑 😏 😒
开球	开球 🏌 🏌️‍♂️
开花	开花 🌸 🌼 🌷 🪻
开车	开车 🚖
弓	弓 🏹
弓箭	弓箭 🏹
弓箭手	弓箭手 🏹
引擎	引擎 🚂
弗拉门戈	弗拉门戈 💃 🕺
张大嘴巴的脸	张大嘴巴的脸 😮
张开	张开 😃 😄 😆 😅 🤗 🫢 😮 😦 😰 😺 🖐
张开双手	张开双手 👐
张开双手笑脸	张开双手笑脸 🤗
张开手指的手	张开手指的手 🖐
弦乐器	弦乐器 🪕
弯举	弯举 💪
弯曲	弯曲 💪 🦵 🧢 ↩ ↪ ⤴ ⤵
弹出	弹出 ⏏
弹出按钮	弹出按钮 ⏏
弹跳	弹跳 ⛹ ⛹️‍♂️ ⛹️‍♀️
强壮	强壮 💪 🦁
强忍泪水的脸	强忍泪水的脸 🥹
归档	归档 🗄
当然	当然 😕 👌
录像带	录像带 📼
录像机	录像机 📼
录制按钮	录制按钮 ⏺
录音室麦克风	录音室麦克风 🎙
彗星	彗星 ☄
形状	形状 🧲
彩妆	彩妆 💄
彩带	彩带 🎏
彩虹	彩虹 🌈 🏳️‍🌈
彩虹旗	彩虹旗 🏳️‍🌈
影片	影片 📽 🎦
待会儿	待会儿 👋
很好	很好 😀 😛 😐 😑 😒 👏
很快	很快 👨‍🦲
很快箭头	很快箭头 🔜
徒步旅行	徒步旅行 🥾
得到	得到 👌
循环	循环 ➰ ➿
微微微笑的脸	微微微笑的脸 🙂
微微皱眉的脸	微微皱眉的脸 🙁
微生物	微生物 🦠
微笑	微笑 😀 😃 😄 😁 😆 😅 🙂 🙃 😊 😇 🥰 😍 🤩 ☺ 😙 🥲 😋 🤗 😬 😎 😈 😺 😸 😻 😼
德古拉	德古拉 🧛
德国	德国 🇩🇪
徽章	徽章 🔱 📛
心	心 🥰 😍 😘 😒 😻 💘 💝 💖 💞 💕 💟 ❣ 💔 ❤️‍🔥 🩷 💛 💚 💙 🩵 💜 🖤 🩶 💋 🫰 🫶 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩 ♥
心不在焉	心不在焉 😶‍🌫️
心形	心形 💞 🧡 🤎 🤍
心形套装	心形套装 ♥
心形情侣	心形情侣 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
心形眼睛微笑的猫	心形眼睛微笑的猫 😻
心形眼笑脸	心形眼笑脸 😍
心形装饰	心形装饰 💟
心感叹	心感叹 ❣
心手	心手 🫶
心火	心火 ❤️‍🔥
心灵	心灵 🤯
心烦	心烦 🙎‍♀️
心烦意乱	心烦意乱 😖
心眼	心眼 😍 😻
心碎	心碎 💔
心脏	心脏 💌 💗 💓 ❤️‍🩹 💛 🫀 🏠 🏡 🩺
心脏病学	心脏病学 🫀
心跳	心跳 💗 💓 🫀
必须	必须 💨
忍者	忍者 🥷
忘记	忘记 😮 😧 🙈
忠实	忠实 💯
忧虑	忧虑 😟
忧虑的脸	忧虑的脸 😟
忧郁	忧郁 😰
快	快 💨 🏃 🏃‍♂️ 🏃‍♀️ 🏃‍➡️ 🏃‍♀️‍➡️ 🏃‍♂️‍➡️ 👟
快乐	快乐 😃 😄 😁 🤣 😂 🙂 😇 ☺ 🥳 🎅 🤶 🧑‍🎄 🤸 🤸‍♂️ 🤸‍♀️ 🎂
快捷	快捷 🏃 🏃‍➡️
快照	快照 📷
快艇	快艇 🚤
快进	快进 ⏩
快进按钮	快进按钮 ⏩
快速	快速 ⏩ ⏪ ⏫ ⏬
快速上升按钮	快速上升按钮 ⏫
快速下降按钮	快速下降按钮 ⏬
快速后退按钮	快速后退按钮 ⏪
快餐	快餐 🍔 🍟
念珠	念珠 📿
怀孕	怀孕 👶 🤰 🫃 🫄
怀孕的男人	怀孕的男人 🫃
怀疑	怀疑 🫢 🤨 🫤 🤦 🤦‍♂️ 🤦‍♀️ 🤷 🤷‍♂️ 🤷‍♀️
怀疑论	怀疑论 🤨 😒
怀疑论者	怀疑论者 🤨
怒目而视	怒目而视 🙎‍♀️
怜悯	怜悯 🥺 🙇 🙇‍♂️ 🙇‍♀️
思想	思想 💭
思想气球	思想气球 💭
思索	思索 🤔
思考	思考 🤔 💭
思考的脸	思考的脸 🤔
怠惰	怠惰 🦥
急救车	急救车 🚑
性别酷儿	性别酷儿 🌈 🏳️‍🌈
性感	性感 😉 💋 🫦
怪人	怪人 😜
怪物	怪物 💀 ☠ 💩 👹 👺 👻 👽 👾 🤖 🧌
恐怖	恐怖 🧛 🧛‍♂️ 🧛‍♀️ 🧟 🧟‍♂️ 🧟‍♀️
恐惧	恐惧 😨 😱
恐惧地尖叫	恐惧地尖叫 😱
恐惧的面孔	恐惧的面孔 😨
恐慌	恐慌 🫨
恐龙	恐龙 🦕 🦖
恢复	恢复 ❤️‍🩹
恩惠	恩惠 🙇 🙇‍♂️ 🙇‍♀️
恭喜	恭喜 👏
恰	恰 🪇
恳求	恳求 🥺
恳求的脸	恳求的脸 🥺
恶心	恶心 😝 🤢 🤮
恶心的脸	恶心的脸 🤢
恶棍	恶棍 🦹 🦹‍♂️ 🦹‍♀️
恶魔	恶魔 😈 👿
恶魔之眼	恶魔之眼 🧿
恼怒	恼怒 😡 🙍 🙍‍♂️ 🙍‍♀️ 🤦‍♂️
恼火	恼火 😖 🙍 🙍‍♂️ 🙍‍♀️
悬挂式滑翔	悬挂式滑翔 🪂
悬挂系统	悬挂系统 🚟
悬挂铁路	悬挂铁路 🚟
悬浮	悬浮 🕴
悲伤	悲伤 😔 😪 😕 😟 🙁 ☹ 🥺 🥹 😥 😢 😭 😖 😞 😓 😩 😫 😿 💔 💧
悲伤但释然的表情	悲伤但释然的表情 😥
悲痛	悲痛 😢
情书	情书 💌
情人节	情人节 💌 💘 💝 🌹
情侣	情侣 🧑‍🤝‍🧑 👭 👫 👬 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
情侣与心	情侣与心 💑
情感	情感 💘 💝 💖 💓 💞 💕 💟 💔 ❤ 🩷 💛 💚 💙 🩵 💜 🩶 💋 ♥
情绪	情绪 💗
惊喜	惊喜 🎁
惊讶	惊讶 🤭 🫢 🤨 🫨 😟 😮 😯 😲 😳 😦 😧 😱 🙀
惊讶的脸	惊讶的脸 😲
想念	想念 😘 😢
想法	想法 💭 💡
想知道	想知道 🤔 😒
愁眉苦脸	愁眉苦脸 😬
愉快	愉快 😀
意大利	意大利 🇮🇹
意大利细面条	意大利细面条 🍝
意大利辣香肠	意大利辣香肠 🍕
意大利面	意大利面 🍝
意大利面条	意大利面条 🍝
意识到	意识到 🤭 😒
愚蠢	愚蠢 🤪 🪿
愚蠢的	愚蠢的 👻
感冒	感冒 😷
感动	感动 🥲
感受	感受 🥹
感叹号	感叹号 ❣ ‼ ⁉ ❕ ❗
感叹号问号	感叹号问号 ⁉
感恩节	感恩节 🦃
感激	感激 🥲 🥹
感觉	感觉 😂 😍 😵 😢 😖 😓 😩 😫 😤 😡 😠
感谢	感谢 🫂
愤怒	愤怒 😤 😡 😠 👿 👺 💢 🗯 🤦 🤦‍♀️
愤怒的脸	愤怒的脸 😡 😠
愤怒的象征	愤怒的象征 💢
愿望	愿望 🤲 🧞 🧞‍♂️ 🧞‍♀️
慕尼黑啤酒节	慕尼黑啤酒节 🍺
懒惰	懒惰 🦥
戈迪塔	戈迪塔 🫓
戏剧演员	戏剧演员 🎭
成人	成人 🧑 👨 👨‍🦰 👨‍🦱 👨‍🦳 👨‍🦲 👩 👩‍🦰 🧑‍🦰 👩‍🦱 🧑‍🦱 👩‍🦳 🧑‍🦳 👩‍🦲 👵 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒
成对	成对 👯 👯‍♀️
成年人	成年人 🧑‍🦲 🧓 👴
成本	成本 😲 😫 💰
成熟	成熟 🍎
成长	成长 💗
